portfolio_store_id,portfolio_name,portfolio_city,scraped_store_id,scraped_name,scraped_city,scraped_tier,scraped_type,match_method,distance_m
CHC300M_204,J01 KEDAI RAKYAT MAIWP,62200 PUTRAJAYA.,ChIJFR5Jr5O3zTER7x5duWa1owU,Maiwp Mart P5,Putrajaya,Tier 1,Conv - Indie mart,coords≤50m,11.6
CHC300M_256,PUSAT BORONG MATAHARI SDN. BHD. -PANDAN INDAH,,ChIJ87q-Wlk2zDERQBBnsP-seEw,Pasaraya Borong Matahari Pandan Indah,Ampang,Unclear,Super - Other / unclear,coords≤50m,5.0
CHC300M_259D,MR TOMATO FRESH MARKET (M) SDN. BHD.-ANDALAS,KLANG,ChIJ4SgCQJiszTER9jyherM49F0,Kedai Runcit Bakdi,Klang,Tier 1,Super - Sundry/grocer,coords≤50m,25.7
CHC300M_259E,MR TOMATO FRESH MARKET (M) SDN. BHD.-BKT TINGGI  2,"BANDAR BUKIT TINGGI 2,",ChIJsY6u5aurzTERNFV4zpxGRbU,KK Super Mart Bukit Tinggi (2) (BTG 2),Klang,Tier 1,Conv - KK Mart,coords≤50m,49.9
CHC300M_259F,MR TOMATO FRESH MARKET (M) SDN. BHD.-BOTANIC (BTC),"KLANG,",ChIJLWVMGpirzTERTPr2OvgBFj4,Mr Tomato Fresh Market Botanic,Pelabuhan Klang,Unclear,Super - Other / unclear,coords≤50m,47.4
CHC300M_450,MANJAKU BABY CENTRE (PRIMA SAUJANA) SDN. BHD.,KAJANG,ChIJSYauS1zNzTERQzicdlHRXAM,PROJECT GARAGE MOTOSPORT,Kajang,Unclear,Super - Other / unclear,coords≤50m,31.2
CHC300M_485,MAHATHIR FRESH MART,"PUCHONG,",ChIJgax5d0S1zTERMgrKtnbLeF0,99 Speedmart 1111 Tmn Saujana Puchong 1,Puchong,Tier 1,Conv - 99 Speedmart,coords≤50m,19.4
CHC300M_505,MEGAMART WHOLESALE SDN. BHD.,"PUCHONG,",ChIJ7UNVj0azzTERu8oGvY5R4ww,99 Speedmart 1930 Taman Denai Puchong,Puchong,Tier 1,Super - 99 Speedmart,coords≤50m,10.1
CHC300M_537,MANJAKU RETAIL SDN. BHD.(TELOK PANGLIMA),"BANDAR TROPICANA AMAN,",ChIJe82CAqexzTERqDtx7dV4OaU,Eco-Shop Tropicana Aman,Telok Panglima Garang,Unclear,Super - Other / unclear,coords≤50m,37.1
CHC300M_545,MERU MART,"KAPAR,",ChIJfc3q60lRzDER-J9hEHWg8LE,Pasar Raya Bismi,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",Unclear,Super - Other / unclear,coords≤50m,44.2
CHC300M_547,PASAR RAYA MATAHARI - U5 SUBANG BESTARI,"SUBANG MURNI, SKEYSEN U5,",ChIJ_SckIABPzDERveRG-RSTqso,Pasaraya Borong Matahari Subang Bestari U5,Shah Alam,Unclear,Super - Other / unclear,place_id,46.4
CHC300M_552,PASAR MINI CARELIN,"43500 SEMENYIH,",ChIJD1l1F1HPzTERLagIKuqFO_M,Pasar Mini Carelin,Semenyih,Tier 1,Super - Independent local,place_id,47.1
CHC300M_567,MJ TIAN SDN. BHD.,"43200 CHERAS,",ChIJCf38KzDLzTER2XllQgj_-5c,KK SUPER MART Cheras Jaya (CJY),Cheras,Tier 1,Conv - KK Mart,coords≤50m,19.9
CHC300M_617,PUSAT BORONG MATAHARI (SRI MANJA) SDN. BHD.,"PETALING JAYA,",ChIJ8aDO9gtLzDERoToE5luXIGY,Pasaraya Borong Matahari Sri Manja,Petaling Jaya,Unclear,Super - Other / unclear,coords≤50m,30.8
CHC300N_002,PASAR RAYA NAM TECK,SELANGOR DARUL EHSAN.,ChIJ3af5g3FTzDERebBlLoFj81o,Pasar Raya Nam Teck,Klang,Unclear,Super - Other / unclear,place_id,15.0
CHC300N_009,KEDAI RUNCIT DUA TIGA TIGA SATU,,ChIJqcQ9JiakzTERk1G3wDaNipc,Pasar Mini Dua Tiga Tiga Satu,Banting,Tier 1,Conv - Mini-mart,coords≤50m,48.4
CHC300N_015,SIMUK MINI MARKET,,ChIJG8JDWqSvzTERATWXc-3F0UI,SIMUK MINI MARKET,Telok Panglima Garang,Tier 1,Conv - Mini-mart,coords≤50m,17.8
CHC300N_025,KEDAI RUNCIT NFS,,ChIJH8kmbsRSzDERQ9GGOYRThRc,Kedai Runcit NFS,Shah Alam,Tier 1,Super - Sundry/grocer,place_id,364.0
CHC300N_104,PASAR MINI NTK,"KAJANG,",ChIJhRzzyXvMzTERm6NYh1ke2M8,Pasar Mini NTK,Kajang,Tier 1,Super - Independent local,place_id,32.7
CHC300N_105,NTT MINI MARKET,58200 KUALA LUMPUR.,ChIJuQ6yjwVLzDERP5l79I4u9r0,NTT Mini Market,Puchong,Tier 1,Super - Independent local,place_id,6.0
CHC300N_115,NZ NEWS & CONVENIENCE,63000 CYBERJAYA,ChIJj-eNZ-e2zTERqvvmc6yNZmk,NZ Mart,"Kuala Lumpur, Petaling Jaya, Shah Alam, Klang, Subang Jaya, Cheras, Ampang, Cyberjaya, Putrajaya, Kajang, 68100 Selayang, Damansara",Tier 1,Conv - Indie mart,coords≤50m,3.2
CHC300N_247,NEIGHBOR FRESH MART,BATU 7 JALAN KAPAR,ChIJ3Wewnw1VzDER1QOBLxveCJI,Neighbor Fresh Mart,Klang,Tier 1,Super - Indie retail,place_id,91.2
CHC300N_279,NERACA GEMILANG SDN. BHD.,"KAMPUNG SUNGAI PINANG,",ChIJYZ_0VY5UzDERPvXtO7rcJxY,Neraca Gemilang,Klang,Unclear,Super - Other / unclear,place_id,289.5
CHC300O_031,OLD HOMEMART SDN. BHD.,42700 BANTING,ChIJn126yNqxzTERPWZDRBQus7k,HOMEMART MINI MARKET SRI CHEEDING,Banting,Tier 1,Super - Independent local,coords≤50m,17.2
CHC300P_031,POH YAP MINI MARKET,41400 KLANG,ChIJR7vtvYFUzDERaC8ykfdnazA,Poh Yap Mini Market,Klang,Tier 1,Super - Independent local,place_id,1.2
CHC300P_041,KEDAI UBAT PERTAMA,,ChIJOTDTSwarzTERTP-Qf3hGXgU,Syarikat Kang Khow Sdn. Bhd.,Pelabuhan Klang,Unclear,Super - Other / unclear,coords≤50m,38.1
CHC300P_074,DOUBLE KNK MARKETING,63000 CYBERJAYA,ChIJOcllrgK3zTER8xeXriRQZ_8,7 Eleven,Dengkil,Tier 1,Hyper - Other regional chain,coords≤50m,35.3
CHC300P_109,MINI MARKET PAK TEH,,ChIJFesQZ3tTzDERmXBEVKAQ1tQ,Al Sulaiman Pasarmini -Shahalam,Shah Alam,Unclear,Super - Other / unclear,coords≤50m,9.8
CHC300P_129,PASAR MINI ASIQ,,ChIJH4O4j3dSzDERVFqEOmctp4k,Pasar Mini Prihatin,Selangor,Tier 1,Super - Independent local,place_id,169.0
CHC300P_181,PARK LANE TRADING,"PUCHONG,",ChIJ88K6pZy3zTERsRGh4LAOpVc,99 Speedmart 1116 Taman Putra Perdana,Puchong,Tier 1,Conv - 99 Speedmart,coords≤50m,16.9
CHC300P_223A,PK UMMAH SDN. BHD. RIZKY MART (RM01),"KAJANG,",ChIJZzlQp9vJzTERw8kkSItBM2c,Rizky Mart,Kajang,Tier 1,Conv - Indie mart,coords≤50m,4.8
CHC300Q_020,QCP GROCER (KLANG) SDN. BHD.,"42000 PELABUHAN KLANG,",ChIJ8bNsIwCrzTERwidxCKAFJ4U,QCP GROCER (KLANG) SDN. BHD. (PANDAMARAN),Pelabuhan Klang,Tier 1,Super - Sundry/grocer,place_id,29.6
CHC300R_013,PASAR MINI RAMLI,45000 KUALA SELANGOR,ChIJ67zvYJb0zDER3Dx9hluf7Us,Pasar Mini Ramli,Kuala Selangor,Tier 1,Conv - Mini-mart,coords≤50m,3.4
CHC300R_019,RINGLET MINI MARKET,,ChIJH8kmbsRSzDERaRkKnltkhJk,Ringlet Mini Market,Selangor,Tier 1,Super - Independent local,place_id,35.1
CHC300R_039,RAHMANIYAH MINI MARKET,SELANGOR DARUL EHSAN.,ChIJ89JuSZPzzDERzqoqhyOQeIk,Rahmaniyah minimarket,Kuala Selangor,Tier 1,Super - Independent local,coords≤50m,4.0
