store_id,store_name,address,postal_code,city,account,district,region,lat,lng,category,annual_sales_usd,lines_per_store,fsm,sr,rating,review_count,price_level,place_id,phone,opening_hours,website,enrichment_attempted
RBA2004695,บริษัท เฉลิมไทยดีพาร์ทเมนท์สโตร์ จำกัด สำนักงานใหญ,709 ถ.สุขุมวิท ต.มะขามหย่ง อ.เมืองชลบุรี,20000,Chon Buri,SEMI WHOLESALE,,East,13.371085,100.990984,SEMI WHOLESALE,"322,994.91",40.92,,RBAC02,,,,,,,,
RBA2004722,บริษัทส.เปรมประเสริฐสุข จำกัด(สำนักงานใหญ),594/1-2 หมู่10 ถนนพัทยาใต้ ต.หนองปรือ อ.บางละมุง,20150,Chon Buri,Minimart,,East,12.926742,100.875138,Minimart,"26,271.91",3.08,,RBAC02,,,,,,,,
RBA2004723,บริษัท เอกสโตร์แหลมฉบัง จำกัด,345/107หมู่ 10 ต.ทุ่งสุขลา อ.ศรีราชา,20230,Chon Buri,SEMI WHOLESALE,,East,13.082202,100.936862,SEMI WHOLESALE,"39,206.52",2.5,,RBAC02,,,,,,,,
RBA2005513,บริษัท ศรีธิคำ มาร์เกตติ้ง จำกัด,57/5 หมู่ 6 ต.หนองปลาไหล อ.บางละมุง,20150,Chon Buri,SEMI WHOLESALE,,East,12.992057,100.932934,SEMI WHOLESALE,"276,078.72",10.75,,RBAC01,,,,,,,,
RBA2005521,ร้านสวัสดิการ สอ.รฝ.,ค่าย สอ.รฝ. ต.สัตหีบ อ.สัตหีบ,20180,Chon Buri,Minimart,,East,12.638588,100.939572,Minimart,"17,409.15",9.5,,RBAC03,,,,,,,,
RBA2005535,บริษัท อนันต์ ซุปเปอร์สโตร์  จำกัด,256/501 หมู่3 ต.บ่อวิน อ.ศรีราชา,20230,Chon Buri,Minimart,,East,13.008163,101.070853,Minimart,"84,083.61",16.25,,RBAC02,,,,,,,,
RBA2005635,ชัยสวัสดิ์พาณิชยกิจ,85/28 หมู่ 10 ต.หนองปรือ อ.บางละมุง,20150,Chon Buri,SEMI WHOLESALE,,East,12.919951,100.918178,SEMI WHOLESALE,"127,665.84",0.5,,RBAC02,,,,,,,,
RBA2005649,ห้างหุ้นส่วนจำกัด เทพภูชิชย์,244/105 หมู่6 ต.หนองปรือ อ.บางละมุง,20150,Chon Buri,SEMI WHOLESALE,,East,12.923264,100.925306,SEMI WHOLESALE,"37,229.52",5.5,,RBAC02,,,,,,,,
RBA2005656,บริษัท พร้อมส่ง หนองใหญ่ จำกัด,42 ม.1 ต.หนองใหญ่ อ.หนองใหญ่,20190,Chon Buri,Minimart,,East,13.156548,101.378697,Minimart,"589,212.00",0.33,,RBAC02,,,,,,,,
RBA2005665,บริษัท​  ศรีราชามงคลชัย​ จำกัด​,333/9 ม.6 ต.สุรศักดิ์ อ.ศรีราชา,20110,Chon Buri,WHOLESALE,,East,13.362535,101.01528,WHOLESALE,"2,430.72",0.25,,RBAC02,,,,,,,,
