city,place_id,name,name_norm,address,lat,lng,types,banner,format,reckitt_target
"RECIFE, PE",,Speed Moska,speed moska,Brazil,-8.0433317,-34.885116,"car_repair,store,point_of_interest,establishment",Independente / Sem chain identificado,Automotivo,EXCLUDE
"RECIFE, PE",,Jairo Aquino Advocacia,jairo aquino advocacia,"Rua Professor Othon Paraíso - Torreão, Recife",-8.038359,-34.88339439999999,"lawyer,point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Pernambuco - Department of Education,pernambuco - department of education,"Avenida Norte Miguel Arraes de Alencar, 7750 - Macaxeira, Recife",-8.0428479,-34.8836389,"point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Auto Oriente Recife - Concessionária,auto oriente recife - concessionaria,"Avenida Norte Miguel Arraes de Alencar, 1925 - Espinheiro, Recife",-8.0399642,-34.8880639,"car_dealer,store,point_of_interest,establishment",Independente / Sem chain identificado,Automotivo,EXCLUDE
"RECIFE, PE",,Crea,crea,"Rua da Hora, 570 - Espinheiro, Recife",-8.0461291,-34.89434619999999,"point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Praia Norte Motel (Adults only),praia norte motel (adults only),"Rua Inglaterra, 137 - Salgadinho, Olinda",-8.030524699999997,-34.8681071,"lodging,point_of_interest,establishment",Independente / Sem chain identificado,Hotel,EXCLUDE
"RECIFE, PE",,Corpo Seguro Shopping Tacaruna,corpo seguro shopping tacaruna,"Condomínio Shopping Center Tacaruna - Avenida Governador Agamenon Magalhães, 153 - Santo Amaro, Recife",-8.0379592,-34.87187029999999,"clothing_store,store,point_of_interest,establishment",Independente / Sem chain identificado,Loja de Roupa,EXCLUDE
"RECIFE, PE",,Malhas Santa Helena - Camisas Personalizadas,malhas santa helena - camisas personalizadas,"Rua Franklin Távora, 312 - Campo Grande, Recife",-8.0284443,-34.8831175,"clothing_store,store,point_of_interest,establishment",Independente / Sem chain identificado,Loja de Roupa,EXCLUDE
"RECIFE, PE",,Kwanza Produções - Jingles Políticos é aqui!,kwanza producoes - jingles politicos e aqui!,"Vila Rex, 242 - casa q - Campo Grande, Recife",-8.030173199999998,-34.88326239999999,"store,point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Figueiras Calçados - Shopping Tacaruna,figueiras calcados - shopping tacaruna,"Avenida Governador Agamenon Magalhães, 153 - Santo Amaro, Recife",-8.0380636,-34.8718726,"shoe_store,store,point_of_interest,establishment",Independente / Sem chain identificado,Sapataria,EXCLUDE
"RECIFE, PE",,Pan Kennedy,pan kennedy,"Rua Prudente de Moraes, 484 - Hipódromo, Recife",-8.0292427,-34.8868791,"bakery,store,food,point_of_interest,establishment",Independente / Sem chain identificado,Padaria,REVIEW
"RECIFE, PE",,New Ótica,new otica,"1, Avenida Governador Agamenon Magalhães, 153 - Santo Amaro, Recife",-8.037975399999999,-34.8717322,"health,store,point_of_interest,establishment",Independente / Sem chain identificado,Clínica / Saúde,REVIEW
"RECIFE, PE",,BOB NICK,bob nick,"Avenida Governador Agamenon Magalhães, 153 - Santo Amaro, Recife",-8.0380183,-34.871785,"store,point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Sweets Café Shopping Tacaruna - Praça Olinda,sweets cafe shopping tacaruna - praca olinda,"Avenida Governador Agamenon Magalhães, 153 - Loja 417 - Santo Amaro, Recife",-8.0380895,-34.8719519,"cafe,food,store,point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Central Funerária Recife,central funeraria recife,"Rua Numa Pompilho, 34 - Santo Amaro, Recife",-8.048171199999999,-34.8829136,"funeral_home,florist,store,point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Deza Modas,deza modas,"Rua Zeferino Agra, 960 - Arruda, Recife",-8.023866399999998,-34.88630039999999,"store,point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Game Station - Shopping Tacaruna,game station - shopping tacaruna,"Avenida Governador Agamenon Magalhães, 153 - Santo Amaro, Recife",-8.0379884,-34.87324869999999,"store,point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Vagamundo Tacaruna,vagamundo tacaruna,"1, Avenida Governador Agamenon Magalhães, 153 - Santo Amaro, Recife",-8.037996999999999,-34.871822,"clothing_store,store,point_of_interest,establishment",Independente / Sem chain identificado,Loja de Roupa,EXCLUDE
"RECIFE, PE",,Appenini Gourmet,appenini gourmet,"Estrada de Belém, 947 - Campo Grande, Recife",-8.03239,-34.883698,"food,store,point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,Blu K Shopping Tacaruna,blu k shopping tacaruna,"Shopping Tacaruna - Avenida Governador Agamenon Magalhães, 153 - Loja 350 - Santo Amaro, Recife",-8.041994899999999,-34.8823209,"clothing_store,store,point_of_interest,establishment",Independente / Sem chain identificado,Loja de Roupa,EXCLUDE
"RECIFE, PE",,Seaway Shopping Tacaruna,seaway shopping tacaruna,"Shopping Tacaruna - Avenida Governador Agamenon Magalhães, 153 - 1º Andar - Santo Amaro, Recife",-8.0379968,-34.8718215,"clothing_store,store,point_of_interest,establishment",Independente / Sem chain identificado,Loja de Roupa,EXCLUDE
"RECIFE, PE",,TOTALFIX | Soluções Industriais,totalfix | solucoes industriais,"Rua Alfredo de Carvalho, 183 - Espinheiro, Recife",-8.040611,-34.890337,"store,point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,VICHY,vichy,"Avenida Governador Agamenon Magalhães, 153 - Santo Amaro, Recife",-8.037949,-34.87224,"store,point_of_interest,establishment",Independente / Sem chain identificado,Outros,REVIEW
"RECIFE, PE",,BAV - Batista Auto Vidros Parabrisas,bav - batista auto vidros parabrisas,"Avenida Luís Correia de Brito, 486 - Campo Grande, Olinda",-8.0274032,-34.87565429999999,"car_repair,store,point_of_interest,establishment",Independente / Sem chain identificado,Automotivo,EXCLUDE
"RECIFE, PE",,Lilica & Tigor,lilica & tigor,"1, Avenida Governador Agamenon Magalhães, 153 - Santo Amaro, Recife",-8.037975399999999,-34.8717322,"clothing_store,store,point_of_interest,establishment",Independente / Sem chain identificado,Loja de Roupa,EXCLUDE
